gene,logFC,AveExpr,t,P.Value,adj.P.Val,B
TCN1,2.4795152707869614,7.834799594443042,5.2011097360942165,5.078706197637674e-07,1.1040665647038421e-05,5.846779847330541
IFIH1,-2.1344252790886222,8.35519287727471,-5.175498209017694,5.72896951873784e-07,1.1799910517120713e-05,5.7319249363872755
CD177,4.352510763779023,9.693475444363663,5.1692331128831945,5.899955258560357e-07,1.1799910517120713e-05,5.703893753557174
LGALS1,1.2905143997019237,10.571178690342716,5.124394807835859,7.276869649638871e-07,1.3847257660193116e-05,5.50402378669023
S100A9,1.7562498083119127,16.75049275489652,5.113824730103101,7.644324809687897e-07,1.3847257660193116e-05,5.457097902619464
LCN2,3.6479546437070893,8.237727874786039,5.110752486751788,7.754464289708145e-07,1.3847257660193116e-05,5.443472382516046
LY6E,-2.6466811138983153,9.61604726045504,-5.078118702157896,9.023670471847879e-07,1.5558052537668757e-05,5.299122396067076
IFIT3,-3.415757230847907,10.05463542822377,-5.037156989392788,1.090430342663669e-06,1.7336583092007988e-05,5.118927901904173
GADD45A,2.0276081230203586,8.362853208111211,5.033385924940281,1.1095413178885113e-06,1.7336583092007988e-05,5.102394403407774
SAMD9,-1.585819350453397,9.02179709738397,-5.003461691930033,1.2731476525466628e-06,1.929011594767671e-05,4.9715321179014635
TGFBI,-2.3001349925391574,7.029215795607612,-4.947577718452495,1.6434825706240027e-06,2.4109352670836483e-05,4.728743959059048
HLA.DPB1,-1.463484373082516,9.488918104178394,-4.94174722671628,1.6876546869585536e-06,2.4109352670836483e-05,4.703533936120507
IFIT2,-3.348251020128849,9.166397053976707,-4.8951464942615805,2.0844974281153643e-06,2.895135316826895e-05,4.502863871159724
ZDHHC19,3.335334359890119,6.585834384152595,4.849033293493296,2.5653906928896575e-06,3.466744179580618e-05,4.305741140368069
HMGB1,-1.2075209254480668,6.491075928161964,-4.817435257957059,2.955140516639472e-06,3.866681477481105e-05,4.171504116137993
MMP9,2.6626713468984837,9.42407106297892,4.780482781141992,3.4837611541966886e-06,4.3547014427458606e-05,4.015388331610747
